,index,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
475,15548,,MILFORD,,,,,,,,,,,,
476,15558,,PLANVILLE,,,,,,,,,,,,
477,15699,,,,,,,,,,,,,PeoplesBank,
478,15735,,LYME,,,,,,,,,,,,
479,15744,,VERNON,,,,,,,,,,,,
480,15745,,SUFFIELD,,,,,,,,,,,,
481,15747,,NEW CANAAN,,,,,,,,,,,,
482,15807,,KENSINGTON,,,,,,,,,,,,
483,15963,,WALLINGFORD,,,,,,,,,,,,
484,15997,,,,,,,,,,,,,,CT -
485,16104,,COLLINSVILLE,,,,,,,,,,,,
486,16131,,WESTPORT,,,,,,,,,,,,
487,16190,,CHESHIRE,,,,,,,,,,,,
488,16228,,CT,,,,,,,,,,,,
489,16254,,LISBON,,,,,,,,,,,,
490,16295,,LITCHFIELD,,,,,,,,,,,,
491,16326,,VERNON,,,,,,,,,,,,
492,16359,,VERNON,,,,,,,,,,,,
493,16465,,,,,,,,,,,,,,CT -
494,16492,,NEW PRESTON,,,,,,,,,,,,
495,16498,,,,,517210.0,,,,,,,,,
496,16516,,EAST HAVEN,,,,,,,,,,,,
497,16555,,,,,,,,,,,,,Citizens Bank,
498,16556,,,,,,,,,,,,,PeoplesBank,
499,16570,,BETHANY,,,,,,,,,,,,
500,16597,,VERNON,,,,,,,,,,,,
501,16617,,GRISWOLD,,,,,,,,,,,,
502,16633,,HARTFORD,,,,,,,,,,,,
503,16647,,EAST HAVEN,,,,,,,,,,,,
504,16677,,WEST HARTFORD,,,,,,,,,,,,
505,16688,,LYME,,,,,,,,,,,,
506,16713,,MIDDLETOWN,,,,,,,,,,,,
507,16724,,JANET GEARY,,,,,,,,,,,,
508,16725,,WEST HARTFORD,,,,,,,,,,,,
509,16736,,,,,,,,,,,,,PeoplesBank,
510,16803,,WETHERSFIELD,,,,,,,,,,,,
511,16834,,,,,722211.0,,,,,,,,,
512,16870,,GROTON,,,,,,,,,,,,
513,16882,,SIMSBURY,,,,,,,,,,,,
514,16887,,EAST HAVEN,,,,,,,,,,,,
515,16890,,CT,,,,,,,,,,,,
516,16921,,STAFFORD,,,,,,,,,,,,
517,16945,,EAST HARTFORD,,,,,,,,,,,,
518,16951,,EAST HAVEN,,,,,,,,,,,,
519,16971,,EAST HARTFORD,,,,,,,,,,,,
520,16991,,LYME,,,,,,,,,,,,
521,17038,,,,,,,,,,,,,PeoplesBank,
522,17067,,GLASTONBURY,,,,,,,,,,,,
523,17068,,CT,,,,,,,,,,,,
524,17079,,VERNON,,,,,,,,,,,,
525,17175,,NEW PRESTON,,,,,,,,,,,,
526,17181,,COLLINSVILLE,,,,,,,,,,,,
527,17203,,KENSINGTON,,,,,,,,,,,,
528,17212,,,,,,,,,,,,,PeoplesBank,
529,17231,,MERIDEN,,,,,,,,,,,,
530,17267,,CT,,,,,,,,,,,,
531,17358,,COLLINSVILLE,,,,,,,,,,,,
